编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期
3059,华测检测认证集团股份有限公司,华测检测,专业技术服务业,人事行政专员,北京,5000.0,7000.0,【工作内容】 - 负责日常人事事务，包括员工考勤、档案管理及入职离职手续办理； - 协助组织公司各类会议及活动，保障行政工作的正常运转； -负责与物业、电业等相关部门的沟通协调工作； -协助集团EHS部门做好相关管理工作； -协助市场部进行宣传工作。 【任职要求】 -本科及以上学历，专业不限，文笔好； -具备良好的沟通能力和团队协作精神； -工作细致认真，责任心强，能承受一定工作压力； -熟悉办公软件操作，有计算机管理经验优先； -具备基本的文书处理能力，文笔好。,本科,1年及以上,检测，认证,2026-01-07,2026-03-07
3090,深圳瑞捷技术股份有限公司,深圳瑞捷,专业技术服务业,酒店木饰面管控专员,深圳,9000.0,12000.0,酒店木饰面装饰工程师 一、工作经验及项目经历 1.经验要求：5年以上高端木饰面（如星级酒店、奢侈品门店）生产或施工管控经验，需主导过至少1个完整五星级酒店木饰面项目全流程管理。 2.核心能力：熟悉木饰面从原材料选型（实木、贴皮、复合板材）、生产工艺（切割、拼接、油漆）到现场安装的全链条质量控制，能独立解决色差、开裂、拼接缝等技术问题。 3.有在木饰面加工厂驻场管控经验。 二、专业技能要求 .技术能力： 1.精通木饰面材料特性（含水率控制、环保等级、耐磨系数），熟悉GB 18580《室内装饰装修材料人造板及其制品中甲醛释放限量》等国家标准。 2.掌握CAD、SketchUp等设计软件，能审核深化图纸，优化排版方案（如模数化设计减少非标准件切割）。 .质量管控： 1.制定木饰面验收标准（如拼接缝≤0.3mm、油漆厚度≥0.6mm、光泽度≥90度），建立材料进场检验（色差、纹理、环保检测）与施工巡检流程。 2.熟悉高端酒店品牌（如万豪、凯悦）对木饰面的特殊要求（如防火等级、防潮处理）。 三、综合素养 3.沟通协调：能对接设计方、施工队、供应商，推动技术方案落地 4.细节把控：对木饰面纹理匹配、颜色一致性、安装精度（如阴阳角方正度≤3mm）有极致追求，具备较强的问题预判与解决能力。 5.抗压能力：适应酒店项目赶工周期，能在多任务并行下保持对质量的严格管控,大专,5年及以上,检测，认证,2026-01-19,2026-03-19
3065,华测检测认证集团股份有限公司,华测检测,专业技术服务业,饲料检测销售工程师,南京,5000.0,10000.0,更多数据： 岗位职责 1.负责东方区域饲料、宠物食品项目开发扩充目标客户清单； 明确区域销售目标，负责外部客户沟通联系； 2.明确区域销售目标，负责外部客户沟通联系； 3.有效管理大客户合同签订及价格调整，协调服务执行方案; 4.制定、推行、并发展企业大客户销售战略. 任职条件 1.具有饲料、宠物食品行业、第三方行业经验优先； 2.具备较强的沟通协调能力、统筹规划能力； 3.大专及以上学历，食品、饲料、化学或市场营销相关专业； 4.具备良好的市场洞察力，协助区域负责人开发市场、建团队。,大专,1年及以上,检测，认证,2026-03-04,2026-05-04
3055,重庆苏试四达试验设备有限公司,苏试试验,专业技术服务业,技术中心副主任,重庆,13000.0,16000.0,一、工作内容 1.负责协助主任日常管理工作，部门之间的沟通协调工作； 2.负责组织售前、售后技术支持； 3.负责按照产品设计和开发流程，组织开展项目各阶段工作，在设计过程给予技术支持； 4.负责组织对产品的工艺性和符合性的控制； 5.负责督促产品设计和开发的技术文件、图纸、工艺定额、质量要求按时准确发放到各相关部门； 6.负责审核材料BOM表，审核与批准非标产品的设计更改，定型产品的设计更改； 7.负责组织对有关质量技术信息的分析、整改，安排人员给予生产现场技术支持； 8.负责参加对外协单位的考察和评价； 9.定期对下属进行专业知识培训，负责对下属工作绩效进行考核； 10.对本部门质量体系运行负责，做好保密管理工作； 11.完成上级领导临时交办的工作任务； 二、任职要求 1.本科及以上学历，自动化、机械类相关专业背景； 2.具备良好的沟通协调能力和团队管理经验； 3.熟悉技术研发流程，有较强的问题分析与解决能力； 4.会使用一种或三种以上三维设计软件，了解PLM系统； 5.有机械设计、制冷（空调）系统设计、电气设计工艺及生产工艺指导经验； 6.了解工艺相关法规、熟悉工艺文件编制。,本科,10年及以上,仪器仪表/工业自动化,2026-01-30,2026-03-30
1802,烟台杰瑞石油服务集团股份有限公司,杰瑞股份,专用设备制造业,HRBP,烟台,10000.0,20000.0,工作职责: 1. 英语课程开发与讲授 ?开发并讲授以实用英语（常用语、工作场景英语）为核心的培训课程； ?根据不同学习对象（新员工、在岗员工等）设计匹配的课程内容和学习路径； ?持续优化课程结构、案例和教学方式，提升课程实用性与学习体验。 2. 英语测评工具与学习资源建设 ?研究并引入外部英语测评工具，支持集团英语能力评估需求； ?整合外部优质英语学习资源（课程、平台、工具等），形成可使用、可推广的学习资源库； ?参与英语考试与测评资源的升级与优化。 3. 国际化人才项目运营 ?参与集团国际化人才项目的整体运作与日常管理； ?负责项目实施过程中的组织、协调、跟进与反馈工作； ?跟踪学员学习情况与项目效果，推动项目持续优化。 4. 项目支持与持续改进 ?协助完善国际化人才培养相关流程、规则与工具； 参与相关数据整理、效果评估及阶段性总结工作。 任职资格: 1. 英语能力与表达能力 英语表达清楚、自然，能够胜任课程讲授与日常交流； 语言表达简洁、有条理，能够将内容讲清楚、讲明白。 2. 课程与内容能力 具备一定的课程设计、内容整理或教学相关经验； 能将学习目标转化为结构清晰、易理解的课程内容。 3. 项目与运营意识 具备基础的项目执行和运营意识，能够推进具体事项落地； 对过程跟进、结果反馈和持续改进有基本认知。 4. 综合素质 学习能力强，能够快速理解业务需求并转化为工作方案； 工作踏实、稳定，具备良好的责任心和执行力。 优先条件 有英语培训、课程讲授、学习项目运营相关经验； 有英语测评、考试或学习平台使用或对接经验； 有国际化人才培养或相关项目参与经历,本科,5年及以上,机械/设备/重工,2026-01-27,2026-03-27
1826,苏州道森钻采设备有限公司,洪田股份,专用设备制造业,人事专员,苏州,6000.0,9000.0,【工作内容】 - **招聘模块**：主导特定职能岗位的招聘工作，包括岗位需求对接、人才画像构建、简历初筛及面试跟进，确保招聘周期缩短20%； - **绩效管理**：负责部门绩效指标拆解与落地，通过数据分析提出改进方案，协助管理者进行绩效面谈与激励措施制定； - **行政支持**：统筹办公环境维护，含物资申领、固定资产盘点、差旅费用核对等基础性事务，提升部门运营效率； - **跨部门协作**：联动业务团队梳理人才需求，协同行政部门推进企业文化活动策划，保障人力行政工作无缝衔接； 【任职要求】 - 人力资源管理、行政管理等相关专业优先，1年以上中大型企业招聘或绩效管理实操经验； - 精通Excel数据透视表及VLOOKUP函数，能独立完成招聘漏斗分析、绩效数据可视化呈现；。,本科,1年及以上,机械/设备/重工,2026-03-04,2026-05-04
1820,杭州长川科技股份有限公司,长川科技,专用设备制造业,成本会计,杭州,13000.0,15000.0,岗位职责： 1、参与集团公司存货流转监控，审核物料请购下单、审核物料到货计划，定期反馈物料异动情况； 2、配合开展安全库存搭建工作； 3、完善全面的公司存货考核制度，定期输出考核结果； 4、参加公司存货相关专项项目，参与项目进程并反馈执行结果； 5、完善存货业财分析管理体系，识别业务风险，完成月度存货分析报告，推动分析建议的后续方案落地； 6、组织存货盘点，编写存货盘点报告，协助强化存货管理，跟进不良品、呆滞物料存货处理进度； 7、负责工作范围内的体系建设工作； 8、做好其他领导临时性分配的工作。 任职要求： 1.财务相关专业，本科及以上学历，5年以上工作经验； 2.能够独立完成成本核算工作，具有良好的数据分析能力； 3.具有良好的沟通能力和团队合作精神，能够高效协作。,本科,5年及以上,电子技术/半导体/集成电路,2026-01-14,2026-03-14
1860,重庆日联科技有限公司,日联科技,专用设备制造业,电气工程师,重庆,6000.0,11000.0,1. 本阶段需要的技术讨论/学习/接受培训； 2. 需求分析及产品设计规格确定； 3. 电气设计、评审、修改及优化等； 4. 详细图纸设计、图纸设计审核及修改、优化； 5. 拟制电控图纸设计规范及质量检验要点； 6. 电气逻辑原理图设计及优化； 7.PLC程序编写与修改。 备注：有电气设计与调试实践经验，具备至少一种机器人的相关调试经验，有一定的电气程序编写开发经验；能够独立承担较复杂的电气详细设计与调试，以及逻辑复杂程度的电气程序编写等工作，伺服机相关经验；,本科,3年及以上,机械/设备/重工,2026-02-28,2026-04-28
4425,浙江世纪华通车业有限公司,ST 华通,互联网和相关服务,001质量工程师（四川省）,成都,4000.0,7000.0,工作内容： 1、 生产过程质量巡查； 2、 不合格品的评审及处理； 3、 产品下场、入库、出库检验； 4、 新产品内部PPAP及顾客PPAP审核产品质量的确认； 5、 产品年度型试及全尺寸检测； 6、 顾客退货及投诉的确认及处理； 7、 对过程检验员及出、入库检验员的技术培训； 8、 安排、监督本部门检验员的工作； 9、负责领导交办的临时工作。 岗位要求： 1. 工科类专业专科以上学历； 2、 认真仔细，责任心强； 3、 良好的执行力；良好的团队合作精神； 知识（应知）：（入职后能学习到） 1、 公司规章制度； 2、 本岗位工作职责包括与其它部门、岗位的关系； 3、 精通质量管理专业理论知识； 4、 精通ISO/TS16949：2009、VDA6.1、ISO9001、VDA6.3（Formel Q）标准及五大工具手册知识； 5、 熟悉汽车零部件行业相关知识； 技能（应会）：（入职后能学习到） 1、娴熟的质量管理技巧。 2、掌握现代质量检验常用方法，熟悉新、老七种质量管理工具。 3、具备较强的管理组织才能、语言表达能力、沟通协调能力。 工作地点：浙江绍兴（必要时可以去子公司n） 3、工作有激情、热情，有较强的吃苦能力和奉献精神； 4、责任心强、敢作敢为、敢于承担责任； 知识（应知）：（入职后能学习到） 1、 公司规章制度； 2、 本岗位工作职责及与其它部门、岗位的关系； 3、 新产品开发与项目管理基础知识； 4、 环境管理与职业健康安全管理知识； 5、 TS16949、APQP、PPAP、FEMA、SPC、MSA知识； 6、 VDA6.3知识； 7、 不合格品的控制程序和要求； 8、 产品过程评审流程； 9、 注塑成型工艺和模具结构； 10、汽车零部件高分子材料知识； 技能（应会）：（入职后能学习到） 1、 能够分析和解决产品开发和生产过程中存在的技术问题，并组织相关人员进行解决。 2、 正确识别产品的性能要求及其生产工艺要求，并对可制造性以及不合格品进行评审。 3、 具有一定的组织能力，能领导项目组开展相应的工作。 4、 熟悉项目开发管理流程，熟悉项目开发常用工具。 5、 计算机辅助设计基础知识及2D和3D软件的应用。,大专,经验不限,汽车,2026-03-04,2026-05-04
4431,海外网传媒有限公司,人民网,互联网和相关服务,销售总监/经理（全国区域）,全国,5000.0,10000.0,岗位名称：销售总监/经理（全国区域） 岗位职责： 1、根据公司媒体定位和资源优势，开发省域内相关客户； 2、联络区域地方、产业、渠道资源，落地线下主题活动等； 3、做好经营项目策划和落实； 4、完成公司交办的其他工作任务。 任职条件： 1、政治立场坚定，爱岗敬业，遵纪守法； 2、新闻、广告、市场营销等本科及以上学历； 3、五年以上广告/营销及团队管理经验； 4、党员或具有中央网络媒体工作经历者优先。,本科,5年及以上,互联网/电子商务,2026-03-02,2026-05-02
