编号,企业名称,股票简称,上市公司行业,招聘岗位,工作城市,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘类别,招聘发布日期,招聘结束日期,预测行业
1,上海尚诚消费金融股份有限公司,上海银行,货币金融服务,风控政策(J10301),上海,20000.0,30000.0,工作职责: 1、负责依据公司整体发展目标，对风险政策进行持续迭代及优化；结合公司资产情况，从数据维度进行风险特征挖掘及识别，以优化公司资产质量； 2、负责制定和优化公司不同业务或产品线的风险政策，包括准入、授信、用信等； 3、负责跟踪风险策略的实施情况，对出现的风险案件进行分析，持续完善风控体系； 4、负责将相应的风险策略部署到风控系统，并确保有效实施； 5、负责与公司业务部门、技术部门进行沟通，确保相关合作项目落地； 6、负责基于业务产品线，制作与发布风险监控类，预警类及其他风险分析报告； 7、负责对市场进行调研，分析客户行为模式，优化各产品线的风控政策。 任职资格: 1、教育程度：本科及以上学历，金融、统计、数学等相关专业优先； 2、工作经历：3年及以上个人信贷相关工作经验，并有个人信贷业务的风险管理业务经验； 3、知识技能：熟悉个人信贷的业务模式，能运用数据分析工具（SAS，Python等）进行分析和预测，具有梳理数据分析解读经验； 4、能力素质：具备良好的沟通能力，业务及数据分析的能力及执行力。,本科,3年及以上,金融/投资/证券,2026-01-14,2026-03-14,人力/财务/行政
2,兴业消费金融股份公司,兴业银行,货币金融服务,客户经理,无锡,15000.0,20000.0,客户经理 岗位职责: 1、负责贷款产品的营销推广，受理客户的业务咨询及协助客户办理各项贷款业务; 2、负责完成客户贷前调查，为信贷决策提供必要的依据; 3、负责贷后管理及客户关系维护; 4、完成领导交代的其他工作。 任职要求: 1、统招本科及以上学历，特别优秀者可适当放宽，市场营销、经济及金融相关专业优先; 2、具备一定的金融业务知识，从事过银行个人消费贷款、信用卡等金融产品销售工作的人员优先考虑; 3、具有较强的沟通能力、人际交往能力、抗压能力和强烈的责任感，具有良好的个人品质，优秀的思想品德，无不良记录。,本科,2年及以上,金融/投资/证券,2026-02-12,2026-04-12,房地产/建筑
3,国民养老保险股份有限公司,农业银行,货币金融服务,风控合规岗(J10430),北京,16000.0,30000.0,工作职责: 1.公司投资风险全面风险管理体系的建设及执行； 2.组织制定、完善风险信息报告机制，汇总分析风险信息并编制各类风险管理报告； 3.对接监管检查与内外部审计并完成相关报告与材料编撰，跟踪分析各类风险问题，推进风险管理方案与流程标准化建设； 4.负责制定投资风险应急预案，并开展相应的应急演练。 任职资格: 1.研究生及以上学历；具有 CFA、FRM、CPA等证书优先； 2.具有2年以上保险公司、保险资管公司投资管理或风险管理工作经验；熟练掌握风险管理知识及流程，熟悉寿险公司资金运用监管政策及投资流程； 3.对金融机构风险管理体系搭建有深入见解，能够设计、落地风险管理政策，具有操作风险管理经验或相关咨询工作经验者优先； 4.具有较强的沟通协调能力、团队合作意识和抗压能力，自我驱动能力强，具备较强的责任心。,硕士,2年及以上,保险,2026-02-13,2026-04-13,销售/市场/客服
4,平安银行股份有限公司,平安银行,货币金融服务,BK917A-对公综拓室业务推动岗,深圳,16667.0,25000.0,1、联动产品及运营等部门，协助落地分行业务需求； 2、负责团队业务经营分析及相关战略规划材料、项目报告的统筹撰写与优化； 3、跟踪创新金融产品的市场动态，前瞻性地开展各类专题分析。 任职资格：1、本科及以上学历，金融学、经济学、统计学、管理学等相关专业； 2、熟练运用excel、ppt等办公软件，具备较强的逻辑思维、信息提炼及归纳总结能力，较强的文字表达能力； 3、3年以上战略咨询或金融机构战略规划部门工作经验者优先； 4、工作严谨细致、责任心强，具备较好的沟通协调能力。 来自,本科,5年及以上,银行,2026-02-05,2026-04-05,互联网/软硬件技术
5,上海农村商业银行股份有限公司,沪农商行,货币金融服务,JTI68YH-临港新片区分行普惠金融客户经理,上海,20000.0,25000.0,工作职责 1、负责普惠客户的公司业务营销工作，挖掘普惠客户需求，提供综合化的服务方案； 2、负责普惠客户的授信申请受理、企业实地走访，资料收集及相关报告撰写工作； 3、开展普惠客户的风险管理工作，根据实际情况，及时调整普惠客户授信额度、产品组合和业务结构； 4、完成领导交办的其他工作。 任职要求 1、35周岁及以下，大学本科及以上学历； 2、2年及以上银行相关工作经验，熟悉银行对公金融产品及业务流程； 3、熟悉经济、金融、产品政策以及银行有关业务规章制度，具备一定风控意识； 4、具备良好的团队合作和协调能力，有良好的的职业道德素养和抗压能力。,本科,2年及以上,银行,2026-01-14,2026-03-14,人力/财务/行政
6,九江银行股份有限公司,兴业银行,货币金融服务,报表统计岗,九江,10000.0,20000.0,岗位职责: 1.组织收集、编制、报送和管理监管统计数据，推动建设满足监管统计报送工作需要的信息系统； 2.监测分析统计数据，出具异动分析报告，配合相关部门完成经营数据信息披露工作，提供管理决策支持，提升监管数据使用价值； 3.推送监管统计数据治理问题，规范监管统计数据源头录入要求； 4.其他需配合完成的监管统计相关工作。 任职要求: 1.初始学历为全日制本科及以上，统计、金融、会计、财经等相关专业优先； 2.年龄35周岁及以下（1991年1月1日后出生）； 3.具备财务、贷款等相关工作经验； 4.熟练使用Word、Excel等办公软件，有SQL、SAS、Python能力者优先； 5.具备监管报送经验者优先。,本科,1年及以上,银行,2026-01-04,2026-03-04,人力/财务/行政
7,中信金融租赁有限公司,中信银行,货币金融服务,船舶业务部客户经理,北京,15000.0,25000.0,岗位要求： 1.开发拓展公司船舶业务领域的租赁业务，完成公司下达的业务拓展计划； 2.撰写项目尽调报告，推动项目内部报审、业务法律合同等各项项目实施相关工作； 3.维护客户关系，开展项目租后管理相关工作。 岗位要求： 1.大学本科及以上学历； 2.英文听说读写优秀，能够以英文作为工作语言； 3.3年至8年金融租赁公司（或其他金融机构）船舶业务客户经理工作经验其他相关领域工作经验； 4.具有船舶领域境外客户资源和合作经验的候选人优先。 薪酬面议。,本科,8年及以上,金融/投资/证券,2026-01-04,2026-03-04,人力/财务/行政
8,中银保险有限公司,中国银行,货币金融服务,风险减量服务岗,北京,15000.0,20000.0,岗位职责： 1.建立健全风险减量的各项规章制度和实务规程； 2.对各级机构风险减量工作开展情况进行指导、监督和考核； 3.组织各级机构开展防火、防汛、防台等防灾防损专项活动； 4.组织落实针对重点客户的防灾防损工作； 5.负责公司风险减量的宣传与培训工作； 6.对大面积灾害事故开展预警监控； 7.负责拓展外部合作机构，完善防灾防损的技术支持； 8.负责风险减量的数据统计、内外联络等管理工作 9.完成交办的其他工作。 资格条件： 1.全日制大学本科及以上学历； 2.1年以上相关岗位工作经验； 3.有消防或安全管理方面经验者优先； 4.熟练掌握各类办公软件； 5.具备较强的沟通协调能力，较强的责任心和团队意识。 所属部门： 总公司理赔服务部,本科,1年及以上,保险,2026-01-07,2026-03-07,互联网/软硬件技术
9,昆仑数智科技有限责任公司,中油资本,货币金融服务,业务咨询顾问 （信创集成方向）,北京,15000.0,30000.0,（1）负责信创总体集成、应用系统替代、信创基础设施建设、信创终端替代决方案的设计和规划。分析行业客户现状和需求，分析油内各个板块信创替代的特点和整体需求; （2）负责信创技术咨询、总体集成、特定系统替代和生产系统替代项目探索的技术支撑，项目解决方案、实施方案的规划设计; （3）负责信创总体集成项目和应用系统替代项目可行性研究报告编制、解决方案的更新维护以及论证和评审意见修改工作； （4）深入理解行业信创总体集成的发展方向进行竞争分析、改善方案设计，提升信创总体集成解决方案的市场竞争力； （5）通过数据挖掘与行业发展的趋势，结合信创相关政策，整理业务发展方案用于事业部决策支撑。 （1）硕士研究生及以上学历10年以上工作经验，博士优先具备5年及以上信创总体集成领域经验； （2）其中3年以上能源行业信创替代的咨询项目经验。具有丰富的项目售前、招投标、实施、售后经验； （3）具备多信创替代项目可行性研究报告编制、评审经验； （4）熟悉主流信创产品的技术参数和配置方案，具备同用户单位交流中能够清晰分析主流信创产品特点的能力; （5）较强的逻辑思维能力，熟练使用相关数据分析处理工具，能够树立通过工具分析用户方完成信创替代目标所需条件； （6）优先条件：具备项目管理认证，具备信创相关资质认证优先。,硕士,10年及以上,IT服务,2026-02-04,2026-04-04,生产制造/汽车
10,国民养老保险股份有限公司,农业银行,货币金融服务,客服管理岗(J10426),北京,16000.0,30000.0,工作职责: 1.负责客服服务品质管理，制定服务标准、衡量服务质量的工具及方法，实施检查计划，总结相关数据并跟进服务改进情况，对人员服务质量和品质指标负责； 2.针对质检工作过程中发现的问题，推动客服相关各类流程、系统需求等优化； 3.深度分析并挖掘客户体验问题，提供有价值的客户体验问题分析，为公司产品、系统、流程及服务升级提供支持，跟进优化效果； 4.负责品质管理相关系统的建设、功能迭代及持续运营。 任职资格: 1.本科及以上学历，保险、金融、经济学相关专业； 2.具有保险行业工作经验，2年以上客服中心质量管理及客户体验运营领域相关工作经验，具备项目管理经验； 3.熟悉用户体验各项指标的建设，具备敏锐的数据洞察及过硬的数据分析功底；具备客户思维，能够结合经验沉淀系统化、工具化，为平台打造更好的用户体验； 4.良好的跨团队沟通能力和资源整合能力，思维逻辑清晰，良好的沟通表达能力。,本科,2年及以上,保险,2026-02-13,2026-04-13,销售/市场/客服
